Entries in the tree: 26492
------> 5 13 479 -1
------> 5 13 480 -1
------> 5 13 481 -1
------> 5 13 482 -1
------> 5 13 483 -1
------> 5 13 484 -1
------> 5 13 485 -1
------> 5 13 486 -1
------> 5 13 487 -1
------> 5 13 488 -1
------> 5 13 489 -1
------> 5 13 490 -1
------> 5 13 491 -1
------> 5 13 492 -1
------> 5 13 493 -1
------> 5 13 494 -1
------> 5 13 495 -1
------> 5 13 496 -1
------> 5 13 497 -1
------> 5 13 498 -1
------> 5 13 499 -1
------> 5 13 500 -1
------> 5 13 501 -1
------> 5 13 502 -1
------> 5 13 503 -1
------> 5 13 504 -1
------> 5 13 505 -1
------> 5 13 506 -1
------> 5 13 507 -1
------> 5 13 508 -1
------> 5 13 509 -1
------> 5 13 510 -1
------> 5 13 511 -1
------> 5 13 512 -1
------> 5 13 513 -1
------> 5 13 514 -1
------> 5 13 515 -1
------> 5 13 516 -1
------> 5 13 517 -1
------> 5 13 518 -1
------> 5 13 519 -1
------> 5 13 520 -1
------> 5 13 521 -1
------> 5 13 522 -1
------> 5 13 523 -1
------> 5 13 524 -1
------> 5 13 525 -1
------> 5 13 526 -1
------> 5 13 527 -1
------> 5 13 528 -1
------> 5 13 529 -1
------> 5 13 530 -1
------> 5 13 531 -1
------> 5 13 532 -1
------> 5 13 533 -1
------> 5 13 534 -1
------> 5 13 535 -1
------> 5 13 536 -1
------> 5 13 537 -1
------> 5 13 538 -1
------> 5 13 539 -1
------> 5 13 540 -1
------> 5 13 541 -1
------> 5 13 542 -1
------> 5 13 543 -1
------> 5 13 544 -1
------> 5 13 545 -1
------> 5 13 546 -1
------> 5 13 547 -1
------> 5 13 548 -1
------> 5 13 549 -1
------> 5 13 550 -1
------> 5 13 551 -1
------> 5 13 552 -1
------> 5 13 553 -1
------> 5 13 554 -1
------> 5 13 555 -1
------> 5 13 556 -1
------> 5 13 557 -1
------> 5 13 558 -1
------> 5 13 559 -1
------> 5 13 560 -1
------> 5 13 561 -1
------> 5 13 562 -1
------> 5 13 563 -1
------> 5 13 564 -1
------> 5 13 565 -1
------> 5 13 566 -1
------> 5 13 567 -1
------> 5 13 568 -1
------> 5 13 569 -1
------> 5 13 570 -1
------> 5 13 571 -1
------> 5 13 572 -1
------> 5 13 573 -1
------> 5 13 574 -1
------> 5 13 575 -1
------> 5 13 576 -1
------> 5 13 577 -1
------> 5 13 578 -1
------> 5 13 579 -1
------> 5 13 580 -1
------> 5 13 581 -1
------> 5 13 582 -1
------> 5 13 583 -1
------> 5 13 584 -1
------> 5 13 585 -1
------> 5 13 586 -1
------> 5 13 587 -1
------> 5 13 588 -1
------> 5 13 589 -1
------> 5 13 590 -1
------> 5 13 591 -1
------> 5 13 592 -1
------> 5 13 593 -1
------> 5 13 594 -1
------> 5 13 595 -1
------> 5 13 596 -1
------> 5 13 597 -1
------> 5 13 598 -1
------> 5 13 599 -1
------> 5 13 600 -1
------> 5 13 601 -1
------> 5 13 602 -1
------> 5 13 603 -1
------> 5 13 604 -1
------> 5 13 605 -1
------> 5 13 606 -1
------> 5 13 607 -1
------> 5 13 608 -1
------> 5 13 609 -1
------> 5 13 610 -1
------> 5 13 611 -1
------> 5 13 612 -1
------> 5 13 613 -1
------> 5 13 614 -1
------> 5 13 615 -1
------> 5 13 616 -1
------> 5 13 617 -1
------> 5 13 618 -1
------> 5 13 619 -1
------> 5 13 620 -1
------> 5 13 621 -1
------> 5 13 622 -1
------> 5 13 623 -1
------> 5 13 624 -1
------> 5 13 625 -1
------> 5 13 626 -1
------> 5 13 627 -1
------> 5 13 628 -1
------> 5 13 629 -1
------> 5 13 630 -1
------> 5 13 631 -1
------> 5 13 632 -1
------> 5 13 633 -1
------> 5 13 634 -1
------> 5 13 635 -1
------> 5 13 636 -1
------> 5 13 637 -1
------> 5 13 638 -1
------> 5 13 639 -1
------> 5 13 640 -1
------> 5 13 641 -1
------> 5 13 642 -1
------> 5 13 643 -1
------> 5 13 644 -1
------> 5 13 645 -1
------> 5 13 646 -1
------> 5 13 647 -1
------> 5 13 648 -1
------> 5 13 649 -1
------> 5 13 650 -1
------> 5 13 651 -1
------> 5 13 652 -1
------> 5 13 653 -1
------> 5 13 654 -1
------> 5 13 655 -1
------> 5 13 656 -1
------> 5 13 657 -1
------> 5 13 658 -1
------> 5 13 659 -1
------> 5 13 660 -1
------> 5 13 661 -1
------> 5 13 662 -1
------> 5 13 663 -1
------> 5 13 664 -1
------> 5 13 665 -1
------> 5 13 666 -1
------> 5 13 667 -1
------> 5 13 668 -1
------> 5 13 669 -1
------> 5 13 670 -1
------> 5 13 671 -1
------> 5 13 672 -1
------> 5 13 673 -1
------> 5 13 674 -1
------> 5 13 675 -1
------> 5 13 676 -1
------> 5 13 677 -1
------> 5 13 678 -1
------> 5 13 679 -1
------> 5 13 680 -1
------> 5 13 681 -1
------> 5 13 682 -1
------> 5 13 683 -1
------> 5 13 684 -1
------> 5 13 685 -1
------> 5 13 686 -1
------> 5 13 687 -1
------> 5 13 688 -1
------> 5 13 689 -1
------> 5 13 690 -1
------> 5 13 691 -1
------> 5 13 692 -1
------> 5 13 693 -1
------> 5 13 694 -1
------> 5 13 695 -1
------> 5 13 696 -1
------> 5 13 697 -1
------> 5 13 698 -1
------> 5 13 699 -1
------> 5 13 700 -1
------> 5 13 701 -1
------> 5 13 702 -1
------> 5 13 703 -1
------> 5 13 704 -1
------> 5 13 705 -1
------> 5 13 706 -1
------> 5 13 707 -1
------> 5 13 708 -1
------> 5 13 709 -1
------> 5 13 710 -1
------> 5 13 711 -1
------> 5 13 712 -1
------> 5 13 713 -1
------> 5 13 714 -1
------> 5 13 715 -1
------> 5 13 716 -1
------> 5 13 717 -1
------> 5 13 718 -1
------> 5 13 719 -1
------> 5 13 720 -1
------> 5 13 721 -1
------> 5 13 722 -1
------> 5 13 723 -1
------> 5 13 724 -1
------> 5 13 725 -1
------> 5 13 726 -1
------> 5 13 727 -1
------> 5 13 728 -1
------> 5 13 729 -1
------> 5 13 730 -1
------> 5 13 731 -1
------> 5 13 732 -1
------> 5 13 733 -1
------> 5 13 734 -1
------> 5 13 735 -1
------> 5 13 736 -1
------> 5 13 737 -1
------> 5 13 738 -1
------> 5 13 739 -1
------> 5 13 740 -1
------> 5 13 741 -1
------> 5 13 742 -1
------> 5 13 743 -1
------> 5 13 744 -1
------> 5 13 745 -1
------> 5 13 746 -1
------> 5 13 747 -1
------> 5 13 748 -1
------> 5 13 749 -1
------> 5 13 750 -1
------> 5 13 751 -1
------> 5 13 752 -1
------> 5 13 753 -1
------> 5 13 754 -1
------> 5 13 755 -1
------> 5 13 756 -1
------> 5 13 757 -1
------> 5 13 758 -1
------> 5 13 759 -1
------> 5 13 760 -1
------> 5 13 761 -1
------> 5 13 762 -1
------> 5 13 763 -1
------> 5 13 764 -1
------> 5 13 765 -1
------> 5 13 766 -1
------> 5 13 767 -1
------> 5 13 768 -1
------> 5 13 769 -1
------> 5 13 770 -1
------> 5 13 771 -1
------> 5 13 772 -1
------> 5 13 773 -1
------> 5 13 774 -1
------> 5 13 775 -1
------> 5 13 776 -1
------> 5 13 777 -1
------> 5 13 778 -1
------> 5 13 779 -1
------> 5 13 780 -1
------> 5 13 781 -1
------> 5 13 782 -1
------> 5 13 783 -1
------> 5 13 784 -1
------> 5 13 785 -1
------> 5 13 786 -1
------> 5 13 787 -1
------> 5 13 788 -1
------> 5 13 789 -1
------> 5 13 790 -1
------> 5 13 791 -1
------> 5 13 792 -1
------> 5 13 793 -1
------> 5 13 794 -1
------> 5 13 795 -1
------> 5 13 796 -1
------> 5 13 797 -1
------> 5 13 798 -1
------> 5 13 799 -1
------> 5 13 800 -1
------> 5 13 801 -1
------> 5 13 802 -1
------> 5 13 803 -1
------> 5 13 804 -1
------> 5 13 805 -1
------> 5 13 806 -1
------> 5 13 807 -1
------> 5 13 808 -1
------> 5 13 809 -1
------> 5 13 810 -1
------> 5 13 811 -1
------> 5 13 812 -1
------> 5 13 813 -1
------> 5 13 814 -1
------> 5 13 815 -1
------> 5 13 816 -1
------> 5 13 817 -1
------> 5 13 818 -1
------> 5 13 819 -1
------> 5 13 820 -1
------> 5 13 821 -1
------> 5 13 822 -1
------> 5 13 823 -1
------> 5 13 824 -1
------> 5 13 825 -1
------> 5 13 826 -1
------> 5 13 827 -1
------> 5 13 828 -1
------> 5 13 829 -1
------> 5 13 830 -1
------> 5 13 831 -1
------> 5 13 832 -1
------> 5 13 833 -1
------> 5 13 834 -1
------> 5 13 835 -1
------> 5 13 836 -1
------> 5 13 837 -1
------> 5 13 838 -1
------> 5 13 839 -1
------> 5 13 840 -1
------> 5 13 841 -1
------> 5 13 842 -1
------> 5 13 843 -1
------> 5 13 844 -1
------> 5 13 845 -1
------> 5 13 846 -1
------> 5 13 847 -1
------> 5 13 848 -1
------> 5 13 849 -1
------> 5 13 850 -1
------> 5 13 851 -1
------> 5 13 852 -1
------> 5 13 853 -1
------> 5 13 854 -1
------> 5 13 855 -1
------> 5 13 856 -1
------> 5 13 857 -1
------> 5 13 858 -1
------> 5 13 859 -1
------> 5 13 860 -1
------> 5 13 861 -1
------> 5 13 862 -1
------> 5 13 863 -1
------> 5 13 864 -1
------> 5 13 865 -1
------> 5 13 866 -1
------> 5 13 867 -1
------> 5 13 868 -1
------> 5 13 869 -1
------> 5 13 870 -1
------> 5 13 871 -1
------> 5 13 872 -1
------> 5 13 873 -1
------> 5 13 874 -1
------> 5 13 875 -1
------> 5 13 876 -1
------> 5 13 877 -1
------> 5 13 878 -1
------> 5 13 879 -1
------> 5 13 880 -1
------> 5 13 881 -1
------> 5 13 882 -1
------> 5 13 883 -1
------> 5 13 884 -1
------> 5 13 885 -1
------> 5 13 886 -1
------> 5 13 887 -1
------> 5 13 888 -1
------> 5 13 889 -1
------> 5 13 890 -1
------> 5 13 891 -1
------> 5 13 892 -1
------> 5 13 893 -1
------> 5 13 894 -1
------> 5 13 895 -1
------> 5 13 896 -1
------> 5 13 897 -1
------> 5 13 898 -1
------> 5 13 899 -1
------> 5 13 900 -1
------> 5 13 901 -1
------> 5 13 902 -1
------> 5 13 903 -1
------> 5 13 904 -1
------> 5 13 905 -1
------> 5 13 906 -1
------> 5 13 907 -1
------> 5 13 908 -1
------> 5 13 909 -1
------> 5 13 910 -1
------> 5 13 911 -1
------> 5 13 912 -1
------> 5 13 913 -1
------> 5 13 914 -1
------> 5 13 915 -1
------> 5 13 916 -1
------> 5 13 917 -1
------> 5 13 918 -1
------> 5 13 919 -1
------> 5 13 920 -1
------> 5 13 921 -1
------> 5 13 922 -1
------> 5 13 923 -1
------> 5 13 924 -1
------> 5 13 925 -1
------> 5 13 926 -1
------> 5 13 927 -1
------> 5 13 928 -1
------> 5 13 929 -1
------> 5 13 930 -1
------> 5 13 931 -1
------> 5 13 932 -1
------> 5 13 933 -1
------> 5 13 934 -1
------> 5 13 935 -1
------> 5 13 936 -1
------> 5 13 937 -1
------> 5 13 938 -1
------> 5 13 939 -1
------> 5 13 940 -1
------> 5 13 941 -1
------> 5 13 942 -1
------> 5 13 943 -1
------> 5 13 944 -1
------> 5 13 945 -1
------> 5 13 946 -1
------> 5 13 947 -1
------> 5 13 948 -1
------> 5 13 949 -1
------> 5 13 950 -1
------> 5 13 951 -1
------> 5 13 952 -1
------> 5 13 953 -1
------> 5 13 954 -1
------> 5 13 955 -1
------> 5 13 956 -1
------> 5 13 957 -1
------> 5 13 958 -1
------> 5 13 959 -1
------> 5 13 960 -1
------> 5 13 961 -1
------> 5 13 962 -1
------> 5 13 963 -1
------> 5 13 964 -1
------> 5 13 965 -1
------> 5 13 966 -1
------> 5 13 967 -1
------> 5 13 968 -1
------> 5 13 969 -1
------> 5 13 970 -1
------> 5 13 971 -1
------> 5 13 972 -1
------> 5 13 973 -1
------> 5 13 974 -1
------> 5 13 975 -1
------> 5 13 976 -1
------> 5 13 977 -1
------> 5 13 978 -1
------> 5 13 979 -1
------> 5 13 980 -1
------> 5 13 981 -1
------> 5 13 982 -1
------> 5 13 983 -1
------> 5 13 984 -1
------> 5 13 985 -1
------> 5 13 986 -1
------> 5 13 987 -1
------> 5 13 988 -1
------> 5 13 989 -1
------> 5 13 990 -1
------> 5 13 991 -1
------> 5 13 992 -1
------> 5 13 993 -1
------> 5 13 994 -1
------> 5 13 995 -1
------> 5 13 996 -1
------> 5 13 997 -1
------> 5 13 998 -1
------> 5 13 999 -1
------> 5 13 1000 -1
------> 5 13 1001 -1
------> 5 13 1002 -1
------> 5 13 1003 -1
------> 5 13 1004 -1
------> 5 13 1005 -1
------> 5 13 1006 -1
------> 5 13 1007 -1
------> 5 13 1008 -1
------> 5 13 1009 -1
------> 5 13 1010 -1
------> 5 13 1011 -1
------> 5 13 1012 -1
